One server, 20, 32, 1024, 2.768, 0.293945, 0.361523
One server, 20, 32, 1024, 2.793, 0.298828, 0.367017
One server, 20, 32, 1024, 2.887, 0.370117, 0.440601
One server, 20, 32, 1024, 2.73, 0.367188, 0.433838
One server, 20, 32, 1024, 2.762, 0.375, 0.442432
One server, 24, 32, 4096, 47.25, 1.83569, 2.12408
One server, 20, 32, 1024, 2.759, 0, 0.0673584
One server, 20, 32, 16, 2.726, 2.9375, 3.00405
One server, 20, 32, 16, 2.739, 0.375, 0.44187
One server, 20, 32, 16, 3.025, 0.375, 0.448853
One server, 20, 32, 128, 2.846, 0.382812, 0.452295
One server, 20, 32, 128, 2.801, 0.390625, 0.459009
One server, 20, 32, 128, 2.41, 0.078125, 0.136963
One server, 20, 32, 128, 2.413, 0.078125, 0.137036
One server, 20, 32, 128, 2.327, 0.335938, 0.79043
One server, 20, 32, 128, 2.321, 2.46875, 6.09531
One server, 20, 32, 128, 2.326, 0.640625, 1.54922
One server, 20, 32, 128, 2.331, 0.648438, 1.55898
